|~名称|~加護|~職業|>|>|>|>|~基本パラメータ|CENTER:~種族|CENTER:~特攻|~装備|~ラ&br;ン&br;ク|~コ&br;ス&br;ト|>|CENTER:~パッシブスキル|CENTER:~リーダー&br;スキル|CENTER:~アシスト&br;スキル|~内政&br;スキル|~スタンス|~備考|h
|言見聞猿|土|ガーダー|108|3|108|3|23|男神獣||法衣&br;道具|C|16|背水の陣[40]&br;十字無効&br;側面無効&br;異常耐性&br;|専守防衛&br;奇襲警戒[33]&br;防御布陣[33]&br;至高の盾[33]&br;|運命改変[33]&br;次元障壁[33]|バリアー[1]|商業[12]|防備|R6-尾&br;v1.04|
|凶幻獣アカオドシ|闇|ガーダー|125|81|120|9|2|星獣毒炎|氷神海竜死|爪&br;獣装|C|21|獣族支配[30]&br;大火炎陣[18]&br;反撃倍加[10]&br;防御布陣[42]&br;|専守防衛&br;堅守体躯[60]&br;前進防御&br;全域無効&br;|地形無効&br;十字無効|パリング[10]||防備|R7-破&br;v1.04|
|阿修羅|火|ガーダー|125|115|95|32|18|女魔神炎超|魔神死氷超|片手&br;両手|C|23|防御布陣[36]&br;大火炎陣[24]&br;反撃倍加[12]&br;必殺増加[36]&br;|心核穿ち[36]&br;十字無効&br;ブロック[66]&br;専守防衛&br;|火属指揮[20]&br;遠隔無効|攻撃指揮[1]|軍事[3]|防備|R7-運&br;v1.04|
|だいだらぼっち|土|ガーダー|160|100|125|10|6|男樹|飛飛|両手&br;装飾|C|23|地形無効&br;防御布陣[100]&br;反撃倍加[9]&br;巨人狩り[100]&br;|前進防御&br;異常耐性&br;堅守体躯[70]&br;特攻防御[40]&br;|城壁構築[500]&br;狂戦士化[50]|必殺耐性[10]|農業[24]|防備|R7-刹&br;v1.04|
|鬼娘|闇|デストロイヤー|105|56|22|18|4|女魔雷|人海獣器|両手&br;鎧|S|6|扇形攻撃&br;雷撃放射[10]&br;攻撃布陣[15]&br;カブト割[50]&br;|城壁崩し[50]&br;狂奔の牙[10]&br;反撃耐性[35]&br;防御削減[10]&br;|狂戦士化[25]&br;雷霊活性[15]|反撃耐性[15]|軍事[3]|進撃|R3-巨&br;v1.04|
|牛頭|土|デストロイヤー|110|70|43|24|6|女魔死獣夜|死獣器|両手&br;鎧|A|10|十字攻撃&br;心核穿ち[25]&br;必殺増加[25]&br;カブト割[35]&br;|夜行活性[15]&br;狂奔の牙[10]&br;反撃耐性[50]&br;勇猛果敢&br;|狂戦士化[25]&br;死者支配[15]|必殺増加[10]|軍事[3]|進撃|R4-英&br;v1.04|
|ヤマタノオロチ|水|デストロイヤー|125|98|68|28|12|人女竜神海|獣神海竜|獣装&br;法衣|C|19|必殺増加[30]&br;師団弱体[15]&br;十字攻撃&br;巨人狩り[50]&br;|竜鱗守護[100]&br;堅守体躯[50]&br;確率追撃[100]&br;大水流陣[13]&br;|吸血攻撃[10]&br;異常耐性|全力攻撃[5]|農業[24]|進撃|R7-破&br;v1.04|
|神威大蛇|土|デストロイヤー|140|128|88|8|18|竜神超|全|爪&br;獣装|E|30|全域攻撃&br;軍団支配[10]&br;必殺増加[40]&br;カブト割[75]&br;|竜鱗守護[125]&br;堅守体躯[50]&br;特攻防御[50]&br;竜の吐息[15]&br;|心核穿ち[50]&br;軍団攻撃[2]|必殺増加[10]|農業[24]|進撃|R8-創&br;v1.04|
|キツネ巫女|光|ヒーラー|90|8|12|26|15|女魔獣樹|魔死|杖&br;法衣|S|2|遠隔攻撃&br;全体治癒[10]&br;解毒治療&br;解呪治療&br;|攻撃弱体[8]&br;樹霊活性[10]&br;対術結界[15]&br;&br;|絶対治療&br;全体治癒[5]|全体治癒[5]|医療[3]|防備|R1-獣&br;Lv3蘇生&br;v1.04|
|はまぐり女房|水|ヒーラー|90|4|28|12|13|女魔海|炎|杖&br;盾|S|4|行動増加[1]&br;海洋活性[10]&br;師団活性[10]&br;自爆結界[25]&br;|専守防衛&br;削減治療&br;全体治癒[8]&br;グルメ魂[5]&br;|グルメ魂[6]&br;絶対治療|戦意高揚[20]|医療[3]|防備|R2-海&br;v1.04|
|妖狐|光|ヒーラー|100|36|36|36|16|女魔獣樹|男魔獣死|杖&br;法衣|A|8|師団支配[10]&br;専守防衛&br;平等治癒[12]&br;絶対治療&br;|砲撃結界[20]&br;異常耐性&br;大火炎陣[5]&br;バリアー[6]&br;|術式増幅[20]&br;リバイブ[25]|バリアー[1]|医療[3]|防備|R3-歴&br;v1.04|
|アマビエ|水|ヒーラー|95|1|18|28|18|女魔海|毒|装飾&br;道具|S|9|人間活性[25]&br;解毒治療&br;毒性弱体[30]&br;専守防衛&br;|トレハン[20]&br;全域無効&br;平等治癒[12]&br;絶対治療&br;|トレハン[4]&br;バリアー[10]|解毒治療|医療[3]|防備|R4-命&br;v1.04|
|オオゲツヒメ|土|ヒーラー|110|12|44|28|18|女神樹||杖&br;道具|B|16|行動増加[1]&br;人間活性[40]&br;解毒治療&br;絶対治療&br;|専守防衛&br;異常耐性&br;軍団治癒[9]&br;グルメ魂[8]&br;|グルメ魂[9]&br;戦術補助[150]|平等治癒[1]|医療[3]|防備|R6-神&br;v1.04|
|邪仙狐|闇|ヒーラー|110|48|26|32|20|女魔獣樹飛超|男女魔神蟲|杖&br;法衣|C|19|師団支配[15]&br;専守防衛&br;軍団治癒[5]&br;絶対治療&br;|四法結界[25]&br;虹の毒撃[9]&br;次元障壁[40]&br;全域無効&br;|十字無効&br;リバイブ[25]|受け流し[5]|魔術[20]|防備|R7-破&br;Lv4蘇生&br;v1.04|
|BGCOLOR(#EDF):|||||||||||||||||||&br;|c
|インプ|闇|ブレイダー|80|12|8|13|7|女魔飛夜|人|鞭&br;装飾|S|1|魔術放射[5]&br;トレハン[4]&br;撃破金運[2]&br;魔族活性[7]&br;|矮小体躯[25]&br;対術障壁[40]&br;イベイド[50]&br;&br;|攻撃弱体[10]&br;挑発行為|イベイド[10]|魔術[12]|進撃|R1-邪&br;v1.04|
|ゴーゴン|闇|ブレイダー|95|21|24|12|5|女魔獣毒夜|人蟲|杖&br;法衣|S|4|前進防御&br;師団弱体[10]&br;封印攻撃&br;致命必殺[45]&br;|無形体躯[25]&br;対術障壁[40]&br;必殺増加[15]&br;恐怖の瞳[25]&br;|側面攻撃[10]&br;追撃阻止[25]|対術結界[10]|魔術[12]|進撃|R2-海&br;v1.04|
|デーモンレイダー|闇|ブレイダー|95|24|18|26|5|女魔飛騎夜|人樹|両手&br;鎧|S|5|魔族活性[8]&br;パリング[35]&br;多段攻撃[1]&br;致命必殺[40]&br;|必殺増加[15]&br;対術障壁[40]&br;特攻防御[40]&br;グルメ魂[3]&br;|多段攻撃[1]&br;グルメ魂[4]|致命必殺[15]|魔術[12]|進撃|R2-空&br;v1.04|
|デーモンエグゼクター|闇|ブレイダー|110|58|36|22|8|男魔飛夜|人魔神|両手&br;鎧|A|9|魔族活性[12]&br;必殺増加[15]&br;扇形攻撃&br;致命必殺[75]&br;|巨人狩り[25]&br;対術障壁[75]&br;堅守体躯[25]&br;特攻防御[25]&br;|確率追撃[50]&br;狂戦士化[25]|必殺増加[10]|魔術[12]|進撃|R3-悪&br;v1.04|
|メドゥーサ|闇|ブレイダー|110|53|60|30|11|女魔獣毒夜|人男女神|法衣&br;装飾|A|13|前進防御&br;師団弱体[20]&br;停止攻撃[25]&br;致命必殺[75]&br;|無形体躯[40]&br;対術結界[40]&br;必殺増加[25]&br;恐怖の瞳[35]&br;|側面攻撃[20]&br;追撃阻止[40]|連携攻撃[5]|軍事[3]|進撃|R5-鬼&br;v1.04|
|オプスヴァルカン|闇|ブレイダー|115|83|43|78|12|女魔炎飛器|飛器蟲毒|両手&br;装飾|B|20|攻撃指揮[20]&br;武具研磨[100]&br;次元斬撃[20]&br;カブト割[20]&br;|多段攻撃[2]&br;対術障壁[100]&br;撃破金運[8]&br;異常耐性&br;|確率追撃[75]&br;側面攻撃[15]|側面攻撃[5]|工業[12]|進撃|R6-機&br;v1.04|
|ルキフェル|闇|ブレイダー|130|106|106|69|23|女魔神飛夜超|人飛魔神|杖&br;法衣|D|26|魔族支配[39]&br;次元斬撃[39]&br;愚者の嘘[3]&br;反撃倍加[13]&br;|対術結界[90]&br;イベイド[100]&br;次元障壁[39]&br;特攻防御[72]&br;|加速進化[13]&br;側面攻撃[26]|バリアー[1]|魔術[24]|進撃|R7-刹&br;Lv5全↑&br;v1.04|
|デビルファーマー|土|ランサー|90|13|16|10|4|男魔夜|樹蟲|片手&br;道具|S|2|城壁構築[25]&br;土属活性[8]&br;奇襲戦法[10]&br;側面攻撃[4]&br;|資源工面[35]&br;日中適応&br;撃破金運[3]&br;グルメ魂[3]&br;|グルメ魂[3]&br;蟲族弱体[10]|削減治療|農業[16]|乱戦|R2-陸&br;v1.04|
|デビル|闇|ランサー|90|18|12|12|6|男魔飛夜|人神獣|斧槍&br;鎧|S|3|貫通攻撃&br;防御削減[7]&br;魔族活性[8]&br;魔術放射[8]&br;|撃破金運[3]&br;対術障壁[40]&br;呪の一撃&br;&br;|攻撃削減[7]&br;大魔術陣[4]|術撃放射[15]|魔術[12]|乱戦|R2-空&br;v1.04|
|デビルキャバリエ|闇|ランサー|110|60|38|42|10|男魔獣騎夜|人神獣|斧槍&br;獣装|A|9|反撃耐性[50]&br;貫通攻撃&br;攻撃布陣[24]&br;必殺増加[25]&br;|側面攻撃[10]&br;堅守体躯[25]&br;特攻防御[50]&br;カブト割[35]&br;|致命必殺[60]&br;多段攻撃[1]|側面攻撃[5]|魔術[16]|乱戦|R3-悪&br;v1.04|
|エリゴール|闇|ランサー|110|50|41|33|22|男魔獣雷飛騎|男女神海|斧槍&br;鎧|A|12|神族弱体[24]&br;魔族活性[16]&br;十字攻撃&br;側面攻撃[15]&br;|多段攻撃[2]&br;大雷撃陣[13]&br;対術結界[40]&br;自爆結界[25]&br;|知力支配[16]&br;雷撃砲弾[8]|大術撃陣[5]|魔術[20]|乱戦|R4-英&br;v1.04|
|ベレト|闇|ランサー|125|83|73|55|11|男魔獣騎夜|人魔神獣|斧槍&br;獣装|B|16|魔族指揮[10]&br;必殺増加[25]&br;心核穿ち[50]&br;十字攻撃&br;|カブト割[40]&br;堅守体躯[35]&br;特攻防御[60]&br;兵士運搬&br;|獣族支配[20]&br;無効喰い[20]|兵士運搬|軍事[3]|乱戦|R6-帝&br;v1.04|
|フォルネウス|水|ランサー|120|91|64|47|11|女魔獣海夜|神海獣蟲|片手&br;獣装|C|18|海洋支配[24]&br;側面攻撃[15]&br;巨人狩り[50]&br;十字攻撃&br;|カブト割[35]&br;堅守体躯[50]&br;自爆結界[40]&br;グルメ魂[8]&br;|グルメ魂[9]&br;兵士運搬|兵士運搬|魔術[16]|乱戦|R6-尾&br;v1.04|
|キマリス|闇|ランサー|125|98|72|58|12|男魔獣騎夜|神獣器騎|斧槍&br;獣装|C|21|魔族指揮[15]&br;必殺増加[30]&br;致命必殺[100]&br;集約攻撃&br;|側面攻撃[18]&br;堅守体躯[50]&br;異常耐性&br;攻撃指揮[15]&br;|狂奔の牙[15]&br;確率追撃[70]|師団活性[5]|軍事[3]|乱戦|R7-破&br;v1.04|
|メフィストフェレス|闇|ランサー|125|83|103|66|21|女魔炎飛夜超|人魔神死|杖&br;法衣|D|23|軍団支配[13]&br;超魔術陣[13]&br;側面攻撃[26]&br;次元斬撃[26]&br;|確率追撃[100]&br;虹の毒撃[26]&br;愚者の嘘[2]&br;リバイブ[39]&br;|愚者の嘘[1]&br;強制異常[26]|リカバリ[5]|魔術[20]|乱戦|R7-刹&br;Lv3全↓&br;v1.04|
|アスタルテ|闇|ランサー|125|100|54|72|23|女魔飛雷夜超|男女神海|斧槍&br;法衣|D|26|心核穿ち[30]&br;師団支配[24]&br;十字攻撃&br;次元斬撃[25]&br;|多段攻撃[4]&br;大雷撃陣[26]&br;対術結界[100]&br;自爆結界[60]&br;|結界の歪[30]&br;雷撃砲弾[20]|大術撃陣[5]|魔術[24]|乱戦|R7-刹&br;Lv4全↓&br;v1.04|
|レプラコーン|闇|シューター|80|7|12|8|7|男魔器夜|人器蟲|杖&br;道具|S|1|遠隔攻撃&br;撃破金運[1]&br;撃破金運[2]&br;撃破金運[3]&br;|撃破金運[4]&br;対術障壁[40]&br;トレハン[8]&br;資源工面[15]&br;|撃破金運[4]&br;撃破金運[5]|対術結界[10]|商業[16]|計略|R1-邪&br;v1.04|
|フレイムスロワー|火|シューター|100|27|13|12|5|男魔器炎|人樹蟲毒|射撃&br;装飾|S|3|火炎放射[15]&br;自決自爆[35]&br;必殺増加[15]&br;全力攻撃[30]&br;|遠隔攻撃&br;イベイド[35]&br;男性活性[12]&br;貫通攻撃&br;|狂戦士化[25]&br;撃破金運[5]|術撃放射[15]|工業[12]|計略|R2-苦&br;v1.04|
|グレムリン|闇|シューター|95|18|24|21|7|男魔飛夜|人器蟲|爪&br;道具|S|4|魔族活性[10]&br;矮小体躯[25]&br;トレハン[14]&br;撃破金運[3]&br;|撃破金運[4]&br;遠隔攻撃&br;挑発行為&br;奇襲戦法[12]&br;|撃破金運[5]&br;魔術砲弾[4]|術撃放射[15]|商業[12]|計略|R2-空&br;v1.04|
|ボルトアベンジャー|光|シューター|105|49|21|23|5|男魔器雷|器海蟲毒|射撃&br;装飾|A|10|大雷撃陣[10]&br;自決自爆[40]&br;必殺増加[25]&br;多段攻撃[2]&br;|遠隔攻撃&br;イベイド[50]&br;男性活性[16]&br;扇形攻撃&br;|運命の輪[10]&br;撃破金運[6]|大術撃陣[5]|工業[16]|計略|R3-凶&br;v1.04|
|プロケル|闇|シューター|105|1|75|24|20|女魔飛夜|炎氷雷|杖&br;法衣|B|13|専守防衛&br;知力支配[15]&br;大魔術陣[24]&br;魔族医療[22]&br;|魔族活性[25]&br;対術障壁[99]&br;イベイド[90]&br;愚者の嘘[1]&br;|愚者の嘘[1]&br;対術反射[25]|知力指揮[5]|魔術[20]|計略|R5-革&br;Lv4全↑&br;v1.04|
|リリス|闇|シューター|110|50|50|40|13|女魔夜|男女男神|鞭&br;法衣|B|13|師団弱体[20]&br;術式増幅[15]&br;遠隔攻撃&br;十字攻撃&br;|魅了攻撃[2]&br;解除攻撃&br;追撃阻止[50]&br;挑発行為&br;|側面攻撃[35]&br;男性弱体[30]|速度指揮[1]|商業[24]|計略|R5-鬼&br;v1.04|
|パイモン|闇|シューター|115|65|48|36|11|女魔炎雷夜|男男女女|装飾&br;道具|B|16|全域攻撃&br;虹の毒撃[13]&br;確率追撃[69]&br;遠隔攻撃&br;|戦術妨害[69]&br;攻撃布陣[69]&br;聖戦の導[13]&br;行動増加[1]&br;|速度支配[26]&br;強制異常[26]|師団活性[5]|商業[24]|計略|R6-機&br;Lv4全↓&br;v1.04|
|ウェパル|闇|シューター|125|88|64|68|16|女魔獣海毒夜|女神毒蟲|鞭&br;道具|C|24|軍団弱体[20]&br;超毒気陣[8]&br;超水流陣[12]&br;軍団攻撃[2]&br;|自爆結界[80]&br;無形体躯[50]&br;異常耐性&br;運命の輪[10]&br;|無効喰い[70]&br;超毒気砲[6]|大毒気陣[5]|魔術[20]|計略|R7-刹&br;v1.04|
|ドリームシープ|闇|キャスター|90|1|10|12|8|女魔獣飛夜|人男女|杖&br;道具|S|3|師団弱体[8]&br;遠隔攻撃&br;魔族医療[6]&br;魔族活性[8]&br;|矮小体躯[20]&br;対術結界[15]&br;イベイド[35]&br;解除攻撃&br;|封印攻撃&br;挑発行為|全体治癒[5]|医療[3]|計略|R2-空&br;v1.04|
|インキュバス|闇|キャスター|95|25|23|28|9|男魔飛夜|人女女|杖&br;法衣|S|4|魅了攻撃[1]&br;攻撃弱体[16]&br;女性支配[8]&br;知力削減[16]&br;|側面攻撃[6]&br;戦術結界[15]&br;夜行活性[10]&br;挑発行為&br;|女性支配[8]&br;確率追撃[50]|側面攻撃[5]|商業[20]|計略|R2-苦&br;v1.04|
|サキュバス|闇|キャスター|95|28|19|36|9|女魔飛夜|人男男|鞭&br;法衣|S|4|魅了攻撃[1]&br;防御弱体[16]&br;男性支配[8]&br;知力削減[16]&br;|遠隔攻撃&br;砲撃結界[15]&br;夜行活性[10]&br;挑発行為&br;|男性支配[8]&br;確率追撃[50]|遠隔攻撃|商業[20]|計略|R2-苦&br;v1.04|
|マリオネッター|闇|キャスター|100|1|30|24|13|女魔器飛夜|人男女|法衣&br;装飾|S|6|魅了攻撃[2]&br;大魔術陣[5]&br;遠隔攻撃&br;イベイド[40]&br;|無形体躯[25]&br;自爆結界[20]&br;器兵支配[10]&br;師団支配[10]&br;|運命改変[5]&br;リカバリ[25]|リカバリ[5]|商業[16]|計略|R3-悪&br;v1.04|
|グリモアデーモン|闇|キャスター|110|36|28|32|13|男魔飛器夜|人神|装飾&br;道具|A|7|戦術妨害[50]&br;術式増幅[15]&br;師団弱体[12]&br;大魔術陣[14]&br;|専守防衛&br;対術吸収[50]&br;無形体躯[25]&br;奇襲戦法[10]&br;|魔術砲弾[4]&br;愚者の嘘[1]|術撃放射[12]|魔術[20]|計略|R3-悪&br;v1.04|
|エウリュアレー|闇|キャスター|110|40|36|54|16|女魔獣飛夜|男女飛獣|杖&br;獣装|A|11|術式増幅[15]&br;師団弱体[15]&br;恐怖の瞳[40]&br;大魔術陣[12]&br;|専守防衛&br;対術結界[60]&br;イベイド[60]&br;平等治癒[15]&br;|リバイブ[40]&br;兵士運搬|恐怖の瞳[1]|魔術[16]|計略|R5-使&br;v1.04|
|シトリー|風|キャスター|115|69|54|41|20|女魔獣飛夜|女男飛神|杖&br;道具|B|16|魔族活性[26]&br;次元斬撃[25]&br;イベイド[50]&br;大魔術陣[20]&br;|対術反射[25]&br;砲撃反射[25]&br;術式増幅[15]&br;魅了攻撃[2]&br;|魔術砲弾[12]&br;バリアー[8]|対術結界[10]|魔術[20]|計略|R6-尾&br;v1.04|
|デカラビア|闇|キャスター|115|72|28|16|22|魔蟲毒|女神飛蟲|杖&br;装飾|C|18|師団支配[16]&br;専守防衛&br;魔術砲弾[6]&br;十字無効&br;|超毒気陣[8]&br;砲撃結界[25]&br;無形体躯[40]&br;愚者の嘘[2]&br;|恐怖の瞳[50]&br;絶対治療|対術結界[10]|魔術[24]|計略|R6-機&br;Lv5全↑↓&br;v1.04|
|マモン|闇|キャスター|120|63|64|8|26|男女魔夜|樹獣海器|杖&br;道具|C|21|大魔術陣[36]&br;行動増加[2]&br;対術吸収[100]&br;専守防衛&br;|全域無効&br;撃破金運[8]&br;トレハン[32]&br;グルメ魂[9]&br;|グルメ魂[10]&br;砲撃吸収[100]|開幕砲弾[5]|医療[3]|計略|R7-真&br;Lv4全↑&br;v1.04|
|サタン|闇|キャスター|140|99|99|99|26|女魔飛毒超夜|全|杖&br;道具|E|32|魔族支配[66]&br;心核穿ち[66]&br;確率追撃[66]&br;次元斬撃[66]&br;|側面攻撃[66]&br;堅守体躯[66]&br;特攻防御[66]&br;次元障壁[66]&br;|師団弱体[66]&br;カブト割[66]|確率追撃[10]|魔術[24]|計略|R8-冥&br;v1.04|
|デーモンナイト|闇|ガーダー|100|16|32|12|7|女魔飛騎夜|人神騎|片手&br;盾|S|4|奇襲警戒[6]&br;専守防衛&br;防御布陣[10]&br;貫通無効&br;|ブロック[15]&br;対術結界[20]&br;堅守体躯[15]&br;特攻防御[40]&br;|前進防御&br;日中適応|防御布陣[10]|魔術[12]|防備|R2-空&br;v1.04|
|バロン|闇|ガーダー|100|20|37|6|10|男魔飛夜|人魔夜|片手&br;法衣|S|4|防御布陣[6]&br;専守防衛&br;イベイド[40]&br;扇形無効&br;|リカバリ[15]&br;無形体躯[15]&br;狂奔の牙[5]&br;特攻防御[40]&br;|前進防御&br;攻撃布陣[8]|イベイド[10]|魔術[12]|防備|R2-空&br;v1.04|
|オプスメイジ|闇|ガーダー|105|10|42|15|12|女魔器|魔神|鞭&br;鎧|S|4|前進防御&br;堅守体躯[20]&br;専守防衛&br;イベイド[30]&br;|パリング[30]&br;砲撃結界[25]&br;対術結界[25]&br;側面無効&br;|戦術結界[30]&br;バリアー[5]|バリアー[1]|魔術[16]|防備|R2-信&br;v1.04|
|デーモンアリスト|水|ガーダー|110|42|61|24|10|女魔飛騎夜氷|人魔神炎|片手&br;盾|A|8|師団弱体[10]&br;防御布陣[18]&br;専守防衛&br;全域無効&br;|ブロック[30]&br;対術障壁[99]&br;堅守体躯[25]&br;特攻防御[50]&br;|異常耐性&br;側面無効|対術結界[10]|魔術[12]|防備|R4-英&br;v1.04|
|デビルジェネラル|闇|ガーダー|115|60|72|48|12|男魔獣騎夜|人神器騎|斧槍&br;盾|A|12|師団支配[10]&br;防御布陣[25]&br;反撃倍加[5]&br;十字無効&br;|専守防衛&br;必殺増加[25]&br;堅守体躯[45]&br;特攻防御[40]&br;|異常耐性&br;封印攻撃|堅守体躯[1]|軍事[3]|防備|R5-鬼&br;v1.04|
|ナーガ|闇|ガーダー|115|33|85|16|12|女魔毒夜超|男女夜|杖&br;鞭|B|15|専守防衛&br;反撃倍加[7]&br;防御布陣[25]&br;特攻防御[50]&br;|リカバリ[50]&br;対術結界[35]&br;無形体躯[50]&br;十字無効&br;|呪の一撃&br;バリアー[8]|リカバリ[5]|魔術[16]|防備|R5-鬼&br;Lv5蘇生&br;v1.04|
|デーモンブレイブ|水|ガーダー|120|53|95|32|10|女魔飛騎夜氷|超魔神炎|片手&br;盾|C|19|師団弱体[20]&br;対術障壁[100]&br;専守防衛&br;防御布陣[25]&br;|ブロック[40]&br;堅守体躯[40]&br;特攻防御[60]&br;側面無効&br;|異常耐性&br;範囲無効|バリアー[1]|魔術[12]|防備|R6-機&br;v1.04|
|フォルカロル|風|ガーダー|125|78|110|45|14|女魔飛海騎超|人神樹海飛|斧槍&br;盾|D|26|軍団弱体[15]&br;専守防衛&br;防御布陣[41]&br;反撃倍加[15]&br;|堅守体躯[50]&br;特攻防御[60]&br;至高の盾[50]&br;範囲無効&br;|巨人狩り[50]&br;遠隔無効|バリアー[1]|軍事[3]|防備|R7-刹&br;v1.04|
|イビルライダー|火|デストロイヤー|90|20|15|16|8|女魔炎飛夜|器樹氷|射撃&br;装飾|S|3|遠隔攻撃&br;城壁崩し[75]&br;大火炎陣[4]&br;兵士運搬&br;|攻撃布陣[10]&br;砲撃結界[15]&br;全力攻撃[25]&br;資源工面[25]&br;|火炎砲弾[8]&br;カブト割[25]|兵士運搬|工業[16]|進撃|R2-空&br;v1.04|
|クルラホーン|闇|デストロイヤー|90|32|14|13|4|女魔飛夜|男女|装飾&br;道具|S|4|必殺増加[5]&br;側面攻撃[4]&br;致命必殺[491]&br;矮小体躯[20]&br;|対術障壁[40]&br;無形体躯[25]&br;パリング[35]&br;対象治癒[30]&br;|確率追撃[77]&br;闇雲攻撃|必殺増加[10]|商業[16]|進撃|R2-苦&br;v1.04|
|アスモデ|闇|デストロイヤー|120|72|43|12|14|男魔飛炎獣夜|人神樹器|両手&br;鎧|A|10|攻撃布陣[30]&br;防御弱体[15]&br;扇形攻撃&br;大火炎陣[15]&br;|カブト割[40]&br;対術障壁[75]&br;特攻防御[60]&br;堅守体躯[25]&br;|全力攻撃[50]&br;必殺増加[25]|大術撃陣[5]|魔術[16]|進撃|R3-凶&br;v1.04|
|アークデーモン|闇|デストロイヤー|120|80|59|24|16|男魔飛夜|人神海飛|斧槍&br;鎧|B|13|魔族活性[20]&br;致命必殺[75]&br;特攻防御[60]&br;必殺増加[25]&br;|十字攻撃&br;確率追撃[60]&br;大雷撃陣[15]&br;堅守体躯[30]&br;|乾坤一擲[40]&br;魔術砲弾[5]|大術撃陣[5]|魔術[16]|進撃|R5-鬼&br;v1.04|
|バルログ|火闇|デストロイヤー|125|91|68|18|13|男魔神飛炎夜|神樹氷竜|両手&br;道具|B|15|炎霊活性[24]&br;巨人狩り[60]&br;特攻防御[70]&br;全力攻撃[100]&br;|全域攻撃&br;反撃耐性[50]&br;大火炎陣[22]&br;堅守体躯[30]&br;|火炎砲弾[8]&br;自爆結界[50]|開幕砲弾[5]|魔術[16]|進撃|R6-帝&br;v1.04|
|ガープ|闇|デストロイヤー|115|60|75|16|24|男魔飛炎雷夜|人器神|杖&br;道具|C|18|トレハン[28]&br;聖戦の導[15]&br;特攻防御[80]&br;専守防衛&br;|超魔術陣[16]&br;魔術砲弾[8]&br;対術結界[50]&br;兵士運搬&br;|知力支配[30]&br;術式増幅[25]|兵士運搬|商業[24]|進撃|R6-機&br;v1.04|
|グシオン|闇|デストロイヤー|120|115|63|23|12|男魔獣炎夜|器神獣騎|爪&br;法衣|C|20|攻撃指揮[20]&br;狂奔の牙[15]&br;必殺増加[35]&br;確率追撃[50]&br;|集約攻撃&br;反撃耐性[60]&br;特攻防御[60]&br;獣族支配[30]&br;|乾坤一擲[25]&br;狂戦士化[45]|必殺増加[10]|商業[20]|進撃|R7-破&br;v1.04|
